0	2023-01-10 16:44:32Z	Sorry, planned but not yet available
1	2023-01-10 16:44:32Z	Trying out KEG
2	2023-01-10 16:44:32Z	Makes Sense
3	2023-01-10 16:44:32Z	Dostoievsky's The Idiot (20221125132220)
4	2023-01-10 16:44:32Z	The enginners and the price system
5	2023-01-10 16:44:32Z	Experimenting with KEG
6	2023-01-10 16:44:32Z	Facebook gathered-content
7	2023-01-10 16:44:32Z	Vim formatting text
8	2023-01-10 16:44:32Z	The underling forces behind Industry
9	2023-01-10 16:44:32Z	The divergent series (20221128185105)
10	2023-01-10 16:44:32Z	`tmux` really is awesome
11	2023-01-10 16:44:32Z	The Specter of Communism
12	2023-01-10 16:44:32Z	Useful extra-functionalies in Vim
13	2023-01-10 16:44:32Z	Vim plugin for snippets
15	2023-01-10 16:44:32Z	Active procedure of paranoiac thought 
16	2023-01-10 16:44:32Z	A Command-line Interface (`CLI`) for translation
17	2023-01-10 16:44:32Z	Input-method in the terminal - tmux
18	2023-01-10 16:44:32Z	Lutris debug - glibc
19	2023-01-10 16:44:32Z	Chinese and programming
20	2023-01-10 16:44:32Z	Chinese Practices
21	2023-01-10 16:44:32Z	Language and culture
22	2023-01-10 16:44:32Z	Chinese Class 1
24	2023-01-10 16:44:32Z	"Solving" `tmux` using the `/bin/sh`
25	2023-01-10 16:44:32Z	Chinese Class 2
26	2023-01-10 16:44:32Z	Software Idea
27	2023-01-14 00:04:28Z	Configuração do Github Actions
28	2023-01-15 17:42:17Z	Dotfiles: the struggle is real
29	2023-01-15 19:41:57Z	Automate testing your website rendering
31	2023-01-17 08:25:01Z	VirtualBox and Mongodb - AVX and AVX2
32	2023-03-05 17:22:24Z	Learn Reitit Course Notes
33	2023-03-23 19:11:17Z	Discurso de formatura
34	2023-03-26 09:59:53Z	The capitalist markets
35	2023-03-26 12:04:04Z	Notes on DEFCon doc
37	2023-03-29 21:10:41Z	Cool websites
38	2023-03-30 14:38:26Z	p1 (20230330173106)
39	2023-04-12 15:23:01Z	20230412182243
40	2023-04-29 17:32:40Z	Time alone
41	2023-04-29 17:43:47Z	Re-frame
42	2023-04-30 19:07:36Z	Components and examples in ClojureScript
43	2023-05-03 18:09:26Z	Quote 1
45	2023-05-06 17:04:32Z	Install emacs with native compilation
